stratum,arm,method,complete_observations,median_range_rho2,median_range_rho3,median_range_rho4,median_range_rho5
real,B,qwen_nonthinking,24,0.13875000000000004,0.34875,0.45,0.544
real,B,qwen_thinking,24,0.307199,0.164668875,0.024187500000000004,0.0034610000000000005
real,H,qwen_nonthinking,24,0.27449999999999997,0.24000000000000002,0.125,0.065
real,H,qwen_thinking,24,0.43526999999999993,0.10816009,0.00840252,0.0009
real,R,qwen_nonthinking,24,0.14525000000000002,0.2325,0.18899999999999997,0.17099999999999999
real,R,qwen_thinking,24,7.000000000000062e-06,1.1999999999998123e-05,1.5000000000015001e-06,0.0
real,S,qwen_nonthinking,24,0.10749999999999998,0.22460000000000005,0.22449999999999998,0.1804
real,S,qwen_thinking,24,0.096593,0.06401951,0.027077505,0.008092285000000001
real,S_obs,qwen_nonthinking,24,0.13815,0.2935,0.3849,0.41050000000000003
real,S_obs,qwen_thinking,24,0.10360212164999999,0.030253000000000013,0.02962845890000001,0.005332251099999999
surrogate,B,qwen_nonthinking,24,0.14875000000000005,0.359,0.5375,0.64975
surrogate,B,qwen_thinking,24,0.5412,0.37250000000000005,0.20299999999999999,0.0693
surrogate,H,qwen_nonthinking,24,0.2899999999999999,0.22949999999999998,0.15049999999999997,0.0625
surrogate,H,qwen_thinking,24,0.11145,0.05787464198393294,0.00045,5e-05
surrogate,R,qwen_nonthinking,24,0.11675000000000002,0.20409999999999995,0.28859999999999997,0.204
surrogate,R,qwen_thinking,24,6.0000000000060005e-06,3.199999999997649e-05,9.999999999992654e-06,6.499999999978745e-06
surrogate,S,qwen_nonthinking,24,0.13485000000000003,0.2905,0.5571999999999999,0.679
surrogate,S,qwen_thinking,23,0.28582299999999994,0.2748980000000001,0.251761,0.11999599999999999
surrogate,S_obs,qwen_nonthinking,24,0.11419999999999997,0.21889999999999998,0.24425000000000002,0.257
surrogate,S_obs,qwen_thinking,24,0.22397899999999998,0.2712613081671415,0.2767332307692308,0.105208
synthetic,B,qwen_nonthinking,24,0.415,0.5,0.475,0.389
synthetic,B,qwen_thinking,24,0.44870429894999997,0.39598617021276594,0.016,0.0
synthetic,H,qwen_nonthinking,24,0.3,0.212,0.1,0.05
synthetic,H,qwen_thinking,24,0.32062650000000004,0.31084599999999996,0.11674999999999999,0.01265
synthetic,R,qwen_nonthinking,24,0.19499999999999995,0.2025,0.14300000000000002,0.06999999999999999
synthetic,R,qwen_thinking,24,5.000000000032756e-06,1.0000000000032986e-05,1.9999999999742446e-06,0.0
synthetic,S,qwen_nonthinking,24,0.12024999999999997,0.19999999999999998,0.2362,0.23585000000000003
synthetic,S,qwen_thinking,24,0.06545012482295484,0.020671366720948717,0.018581499999999983,0.0022120000000000004
synthetic,S_obs,qwen_nonthinking,24,0.13,0.20234999999999997,0.19855,0.175
synthetic,S_obs,qwen_thinking,24,0.0626697719,0.023627769999999965,0.015906543000000002,0.0008446264999999906
