arm,outer_fold,anchor,min_samples_leaf,max_features,inner_MAE_2
B,copenhagen_bluetooth,reference,20,0.5,0.06938005854492046
B,nr_digg_reply,reference,20,0.5,0.06975200793876463
B,snap_collegemsg,reference,20,0.5,0.06855800407417019
B,snap_email_eu,reference,20,0.5,0.06686450642829128
B,snap_mathoverflow,reference,20,0.5,0.06243007153902013
B,sp_highschool2013,reference,20,0.5,0.06177303272342063
B,sp_hospital,reference,20,0.5,0.06268274815086029
B,sp_workplace,reference,20,0.5,0.06930900497640353
B,synthetic,reference,20,0.5,0.06698351881062845
H,copenhagen_bluetooth,plugin,20,0.5,0.04124619570128047
H,nr_digg_reply,plugin,20,0.5,0.04168133723403529
H,snap_collegemsg,plugin,20,0.5,0.04012076785812436
H,snap_email_eu,plugin,20,0.5,0.038221627095296334
H,snap_mathoverflow,plugin,20,0.5,0.04224224962187469
H,sp_highschool2013,plugin,20,0.5,0.04083940038621233
H,sp_hospital,plugin,20,0.5,0.038323222626039294
H,sp_workplace,plugin,20,0.5,0.041222150222509586
H,synthetic,plugin,20,0.5,0.03995442502590358
R,copenhagen_bluetooth,plugin,20,0.5,0.017247275297249284
R,nr_digg_reply,plugin,5,0.5,0.01735118433061776
R,snap_collegemsg,reference,20,1.0,0.01815154927203115
R,snap_email_eu,reference,20,0.5,0.01769744614622316
R,snap_mathoverflow,reference,20,0.5,0.017950697337872905
R,sp_highschool2013,reference,20,0.5,0.01665891031518221
R,sp_hospital,reference,20,0.5,0.016565817747217187
R,sp_workplace,reference,20,0.5,0.016239525720094784
R,synthetic,reference,20,0.5,0.016991157936223064
S,copenhagen_bluetooth,reference,20,1.0,0.03570077409139657
S,nr_digg_reply,reference,20,1.0,0.03607722556396652
S,snap_collegemsg,reference,20,0.5,0.03755815916042396
S,snap_email_eu,reference,20,1.0,0.03551347370712202
S,snap_mathoverflow,reference,20,1.0,0.03672096254163152
S,sp_highschool2013,reference,20,1.0,0.031474422568044724
S,sp_hospital,reference,20,1.0,0.03005361738156417
S,sp_workplace,reference,20,1.0,0.0341130260474377
S,synthetic,reference,20,1.0,0.03448260687829374
S_obs,copenhagen_bluetooth,reference,20,1.0,0.03973875591392916
S_obs,nr_digg_reply,reference,20,1.0,0.04231714017409552
S_obs,snap_collegemsg,reference,20,1.0,0.04184497869812255
S_obs,snap_email_eu,reference,20,1.0,0.03841440656500376
S_obs,snap_mathoverflow,reference,20,1.0,0.0414231401352589
S_obs,sp_highschool2013,reference,20,1.0,0.036938747163622825
S_obs,sp_hospital,reference,20,1.0,0.03329106611044226
S_obs,sp_workplace,reference,20,1.0,0.040722534642425895
S_obs,synthetic,reference,20,1.0,0.03978617887277862
